Station,Latitude,Longitude,Data Acquisition Time,temperature_c,humidity_pct,wind_speed_kmh,wind_direction_deg
Almora_1,29.59631389,79.65005556,2022-12-31 17:00:00,10.6,82,0.2,359
Almora_1,29.59631389,79.65005556,2022-12-31 18:00:00,8.7,88,0.1,359
Almora_1,29.59631389,79.65005556,2022-12-31 19:00:00,7.8,89,0.2,359
Almora_1,29.59631389,79.65005556,2022-12-31 20:00:00,7.4,90,0.0,0
Almora_1,29.59631389,79.65005556,2022-12-31 21:00:00,6.9,91,0.1,359
Almora_1,29.59631389,79.65005556,2022-12-31 22:00:00,6.2,91,0.1,359
Almora_1,29.59631389,79.65005556,2022-12-31 23:00:00,5.2,90,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-01 00:00:00,5.0,90,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-10 17:00:00,12.3,61,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-10 18:00:00,10.3,70,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-10 19:00:00,9.0,75,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-10 20:00:00,8.7,76,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-10 21:00:00,7.9,72,0.6,262
Almora_1,29.59631389,79.65005556,2023-01-10 22:00:00,7.3,74,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-10 23:00:00,7.0,71,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-11 00:00:00,6.4,74,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-11 01:00:00,6.4,72,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-11 02:00:00,6.1,73,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-11 03:00:00,6.3,68,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-11 04:00:00,6.1,69,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-11 05:00:00,6.1,72,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-11 06:00:00,5.9,73,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-11 07:00:00,6.5,69,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-11 08:00:00,8.3,65,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-11 09:00:00,62.3,101,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-11 10:00:00,13.3,101,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-11 11:00:00,13.3,101,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-11 12:00:00,18.1,36,1.1,347
Almora_1,29.59631389,79.65005556,2023-01-11 13:00:00,16.4,43,0.6,257
Almora_1,29.59631389,79.65005556,2023-01-11 14:00:00,15.8,42,0.8,297
Almora_1,29.59631389,79.65005556,2023-01-11 15:00:00,15.1,42,1.0,338
Almora_1,29.59631389,79.65005556,2023-01-11 16:00:00,14.4,46,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-11 17:00:00,13.2,57,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-11 18:00:00,10.5,64,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-11 19:00:00,9.2,60,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-11 20:00:00,8.3,65,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-11 21:00:00,7.7,62,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-11 23:00:00,7.3,64,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-12 00:00:00,7.3,61,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-12 01:00:00,7.2,60,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-12 02:00:00,7.4,53,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-12 03:00:00,7.4,65,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-12 06:00:00,7.4,63,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-12 07:00:00,6.3,68,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-12 08:00:00,6.6,71,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-12 09:00:00,8.6,67,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-12 10:00:00,11.5,45,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-12 11:00:00,14.0,39,0.6,165
Almora_1,29.59631389,79.65005556,2023-01-12 12:00:00,15.0,42,1.1,302
Almora_1,29.59631389,79.65005556,2023-01-12 13:00:00,15.1,46,1.7,4
Almora_1,29.59631389,79.65005556,2023-01-12 14:00:00,14.9,50,1.3,211
Almora_1,29.59631389,79.65005556,2023-01-12 15:00:00,14.8,49,0.6,352
Almora_1,29.59631389,79.65005556,2023-01-12 16:00:00,11.9,59,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-13 06:00:00,8.6,66,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-13 07:00:00,6.7,85,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-13 08:00:00,7.8,81,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-13 09:00:00,8.8,75,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-13 10:00:00,10.6,67,0.6,131
Almora_1,29.59631389,79.65005556,2023-01-13 12:00:00,14.9,57,1.5,337
Almora_1,29.59631389,79.65005556,2023-01-13 13:00:00,13.9,63,1.0,8
Almora_1,29.59631389,79.65005556,2023-01-13 16:00:00,12.7,56,0.5,45
Almora_1,29.59631389,79.65005556,2023-01-13 17:00:00,11.0,68,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-13 18:00:00,9.8,73,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-13 19:00:00,8.0,81,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-13 20:00:00,7.1,84,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-13 21:00:00,7.0,85,0.0,0
Almora_1,29.59631389,79.65005556,2023-01-13 22:00:00,7.6,84,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-13 23:00:00,7.2,85,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-14 00:00:00,6.9,85,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-14 01:00:00,5.9,87,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-14 02:00:00,5.6,89,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-14 03:00:00,5.6,89,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-14 04:00:00,5.6,88,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-14 06:00:00,5.5,88,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-14 07:00:00,5.1,88,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-14 08:00:00,6.0,89,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-14 09:00:00,9.0,80,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-14 10:00:00,13.5,59,0.6,346
Almora_1,29.59631389,79.65005556,2023-01-14 11:00:00,15.2,54,0.9,213
Almora_1,29.59631389,79.65005556,2023-01-14 12:00:00,15.1,58,1.1,268
Almora_1,29.59631389,79.65005556,2023-01-14 13:00:00,14.5,62,0.7,331
Almora_1,29.59631389,79.65005556,2023-01-15 06:00:00,4.8,91,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-15 07:00:00,4.7,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-15 08:00:00,5.4,92,0.1,359
Almora_1,29.59631389,79.65005556,2023-01-15 09:00:00,7.7,87,0.4,359
Almora_1,29.59631389,79.65005556,2023-01-15 10:00:00,12.7,62,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-15 11:00:00,14.0,59,1.1,211
Almora_1,29.59631389,79.65005556,2023-01-15 12:00:00,14.6,60,1.3,348
Almora_1,29.59631389,79.65005556,2023-01-15 13:00:00,14.4,50,1.4,330
Almora_1,29.59631389,79.65005556,2023-01-15 14:00:00,13.8,60,1.1,350
Almora_1,29.59631389,79.65005556,2023-01-15 15:00:00,13.6,61,0.9,320
Almora_1,29.59631389,79.65005556,2023-01-15 16:00:00,9.9,82,0.6,107
Almora_1,29.59631389,79.65005556,2023-01-15 17:00:00,8.1,87,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-15 18:00:00,6.8,87,0.3,359
Almora_1,29.59631389,79.65005556,2023-01-15 19:00:00,6.2,82,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-16 06:00:00,3.1,89,0.2,359
Almora_1,29.59631389,79.65005556,2023-01-16 07:00:00,2.8,90,0.2,359
