Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
33312,UK/CHA/53N12/2018/88,Uttarakhand,Chamoli,Balan,Balan-Tharali,30.164056,79.710417,Rock,Slide,2014
33314,UK/CHA/53N08/2018/66,Uttarakhand,Chamoli,Dhansari,Kothi-Jantha-Bugoli,30.164452,79.281929,Rock,Slide,2017
33316,UK/CHA/53N08/2018/23,Uttarakhand,Chamoli,Jagri,Simtoli-Dharkot-Bangaon,30.165964,79.260463,Debris,Slide,
33322,UK/CHA/53N08/2018/21,Uttarakhand,Chamoli,Binsar Devta,Bethra-Chopta-Chanyapani,30.173278,79.380278,Debris,Slide,2018
33326,UK/CHA/53N08/2018/67,Uttarakhand,Chamoli,Kaphlori,Kothi-Jantha-Bugoli,30.174248,79.287903,Rock,Slide,2017
33327,UK/CHA/53N08/2018/64,Uttarakhand,Chamoli,Chhaikura,Narayanbagad-Nalgao,30.174541,79.352931,Rock,Fall,
33334,UK/CHA/53N08/2018/20,Uttarakhand,Chamoli,Binsar Devta,Bethra-Chopta-Chanyapani,30.178139,79.385778,Rock,Slide,2014
33335,UK/CHA/53N08/2018/65,Uttarakhand,Chamoli,Forest,Narayanbagad-Nalgao,30.17828,79.329739,Rock,Slide,
33336,UK/CHA/53N08/2013/0051,Uttarakhand,Chamoli,UK_CHA_SH_ 051,About 500m upstream of Amsaur,30.178611,79.330139,Rock,Slide,16th-17th June 2013
33340,UK/CHA/53N08/2018/18,Uttarakhand,Chamoli,Binsar Devta,Bethra-Chopta-Chanyapani,30.180264,79.379642,Rock,Slide,2014
33341,UK/CHA/53N08/2018/22,Uttarakhand,Chamoli,Dhulet,Simtoli-Dharkot-Bangaon,30.180387,79.253461,Debris,Slide,2016
33343,UK/CHA/53N04/2013/0039,Uttarakhand,Chamoli,UK_CHA_NH_ 039,Along NH-87E near Ujalpur village after Adibadri,30.180611,79.221611,Debris,Slide,16th-17th June 2013
33353,UK/CHA/53N04/2018/1,Uttarakhand,Chamoli,Forest,Bisauna-Kaphlori-Dungri,30.184498,79.161057,Rock,Slide,2017
33354,UK/CHA/53N08/2018/19,Uttarakhand,Chamoli,Odali,Bethra-Chopta-Chanyapani,30.186177,79.380843,Debris,Slide,2014
33356,UK/CHA/53N08/2018/24,Uttarakhand,Chamoli,Dhulet,Simtoli-Dharkot-Bangaon,30.187944,79.256694,Debris,Slide,2013
33371,UK/CHA/53N08/2013/0052,Uttarakhand,Chamoli,UK_CHA_SH_ 052,North-east of Bagoli village.,30.193722,79.309556,Debris,Slide,16th-17th June 2013
33375,UK/CHA/53N08/2018/13,Uttarakhand,Chamoli,Sarkot,Choura Mehta - Bhingrara - Birgul,30.195477,79.301949,Debris,Slide,2016
33377,UK/CHA/53N08/2018/17,Uttarakhand,Chamoli,Bhalsaun,Bethra-Chopta-Chanyapani,30.196372,79.379928,Rock,Slide,
33380,UK/CHA/53N08/2018/12,Uttarakhand,Chamoli,Sarkot,Jamreri - Ghat - Baruri,30.197338,79.304865,Debris,Subsidence,2016
33384,UK/CHA/53N08/2018/11,Uttarakhand,Chamoli,Sarkot,Jamreri - Ghat - Baruri,30.199207,79.310819,Rock,Slide,2014
33387,UK/CHA/53N08/2013/0053,Uttarakhand,Chamoli,UK_CHA_SH_ 053,Thapli village along State Highway,30.200111,79.278722,Debris,Slide,16th-17th June 2013
33388,UK/CHA/53N08/2018/69,Uttarakhand,Chamoli,Rai,Serapankhuri-Dhansari,30.20048,79.333374,Rock,Slide,2017
33389,UK/CHA/53N08/2018/37,Uttarakhand,Chamoli,Jakh,Raingao-Maikot-Ghat,30.20075,79.464028,Debris,Slide,2013
33392,UK/CHA/53N08/2018/36,Uttarakhand,Chamoli,Jakh,Raingao-Maikot-Ghat,30.202167,79.465167,Debris,Slide,2013
33393,UK/CHA/53N08/2018/16,Uttarakhand,Chamoli,Bhalsaun,Bethra-Chopta-Chanyapani,30.203784,79.368203,Rock,Slide,
33395,UK/CHA/53N08/2018/38,Uttarakhand,Chamoli,Forest,Raingao-Maikot-Ghat,30.205485,79.459201,Rock,Slide,
33397,UK/CHA/53N04/2018/3,Uttarakhand,Chamoli,Dungri,Dungri-Bhatoli bazar,30.208944,79.241056,Rock,Slide,2017
33398,UK/CHA/53N04/2018/2,Uttarakhand,Chamoli,Dewar,Nauti Maithan-Dungri,30.209,79.199694,Rock,Slide,2018
33401,UK/CHA/53N08/2018/49,Uttarakhand,Chamoli,Pyonra,Binwalgao-Banjbagad-Phali,30.210743,79.481492,Rock cum debris,Slide,2014
33403,UK/CHA/53N08/2018/14,Uttarakhand,Chamoli,Forest,Sunbhi-Chopta-Narayanbagad,30.210774,79.381302,Rock,Slide,
33404,UK/CHA/53N08/2018/48,Uttarakhand,Chamoli,Pyonra,Binwalgao-Banjbagad-Phali,30.210809,79.48275,Rock cum debris,Slide,2014
33412,UK/CHA/53N08/2013/0042,Uttarakhand,Chamoli,UK_CHA_SH_ 042,"East of Chulakot, road section along left bank of Pindar river.",30.215194,79.274917,Rock cum Debris,Slide,16th-17th June 2013
33413,UK/CHA/53N08/2018/15,Uttarakhand,Chamoli,Forest,Sunbhi-Chopta-Narayanbagad,30.215515,79.377048,Rock,Slide,
33414,UK/CHA/53N08/2018/50,Uttarakhand,Chamoli,Forest,Binwalgao-Banjbagad-Phali,30.21646,79.4678,Rock,Slide,2014
33416,UK/CHA/53N08/2018/39,Uttarakhand,Chamoli,Serapankhudi,Raingao-Maikot-Ghat,30.21734,79.450117,Debris,Slide,2016
33418,UK/CHA/53N08/2018/51,Uttarakhand,Chamoli,Serapankhudi,Binwalgao-Banjbagad-Phali,30.217937,79.464015,Rock,Slide,2014
33423,UK/CHA/53N08/2018/9,Uttarakhand,Chamoli,Khand Malla,Jamreri - Ghat - Baruri,30.22082,79.25258,Debris,Slide,2014
33425,UK/CHA/53N08/2018/10,Uttarakhand,Chamoli,Naula,Jamreri - Ghat - Baruri,30.222338,79.253315,Rock,Slide,2014
33434,UK/CHA/53N08/2013/0041,Uttarakhand,Chamoli,UK_CHA_NH_ 041,"Along road, left bank of Pinder river, north of Bargaon village on SH-11",30.223972,79.272361,Rock cum Debris,Slide,16th-17th June 2013
33439,UK/CHA/53N08/2013/0040,Uttarakhand,Chamoli,UK_CHA_NH_ 040,Along road right bank of Alagad before Pinder confluence,30.225083,79.257028,Rock cum Debris,Topple,16th-17th June 2013
33440,UK/CHA/53N08/2018/53,Uttarakhand,Chamoli,Serapankhudi,Binwalgao-Banjbagad-Phali,30.225343,79.464234,Rock,Slide,2014
33441,UK/CHA/53N08/2018/52,Uttarakhand,Chamoli,Serapankhudi,Binwalgao-Banjbagad-Phali,30.225374,79.463079,Rock,Slide,2014
33443,UK/CHA/53N08/2018/40,Uttarakhand,Chamoli,Serapankhudi,Raingao-Maikot-Ghat,30.226278,79.444833,Debris,Slide,2016
33445,UK/CHA/53N08/2018/54,Uttarakhand,Chamoli,Serapankhudi,Binwalgao-Banjbagad-Phali,30.226462,79.461856,Rock,Slide,2014
33447,UK/CHA/53N08/2018/25,Uttarakhand,Chamoli,Museti,Dimmar-Kimtoli-Dhansari,30.226901,79.298991,Rock,Slide,2017
33453,UK/CHA/53N08/2018/55,Uttarakhand,Chamoli,Serapankhudi,Binwalgao-Banjbagad-Phali,30.230843,79.448538,Rock,Slide,2014
33454,UK/CHA/53N08/2018/8,Uttarakhand,Chamoli,Kauli,Swala -Banlek -Jaitoli,30.231295,79.267228,Rock,Slide,2014
